meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1281,11253,1,31,1,19,MEDIUM,0
1281,11253,2,31,20,53,HARD,0
1281,11253,1,41,1,18,MEDIUM,0
1281,11253,2,41,19,53,HARD,0
1281,11253,1,43,1,17,MEDIUM,0
1281,11253,2,43,18,53,HARD,0
1281,11253,1,44,1,22,MEDIUM,0
1281,11253,2,44,23,53,HARD,0
1281,11253,1,55,1,22,MEDIUM,0
1281,11253,2,55,23,53,HARD,0
1281,11253,1,63,1,21,MEDIUM,0
1281,11253,2,63,22,53,HARD,0
1281,11253,1,77,1,19,HARD,0
1281,11253,2,77,20,52,MEDIUM,0
1281,11253,1,81,1,18,MEDIUM,0
1281,11253,2,81,19,53,HARD,0
1281,11253,1,87,1,16,MEDIUM,0
1281,11253,2,87,17,20,HARD,0
