date,session_key,stop_duration,lap_number,lane_duration,driver_number,meeting_key,pit_duration
2023-09-15T13:00:03.184000+00:00,9159,,1,,2,1219,
2023-09-15T13:00:06.496000+00:00,9159,,1,,40,1219,
2023-09-15T13:00:12.996000+00:00,9159,,1,,63,1219,
2023-09-15T13:00:16.465000+00:00,9159,,1,,27,1219,
2023-09-15T13:00:20.480000+00:00,9159,,1,,18,1219,
2023-09-15T13:00:22.090000+00:00,9159,,1,,23,1219,
2023-09-15T13:00:23.934000+00:00,9159,,1,,77,1219,
2023-09-15T13:00:31.808000+00:00,9159,,1,,14,1219,
2023-09-15T13:00:37.058000+00:00,9159,,1,,24,1219,
2023-09-15T13:00:44.511000+00:00,9159,,1,,4,1219,
2023-09-15T13:00:44.871000+00:00,9159,,1,,31,1219,
2023-09-15T13:00:56.355000+00:00,9159,,1,,44,1219,
2023-09-15T13:01:00.277000+00:00,9159,,1,,22,1219,
2023-09-15T13:01:02.511000+00:00,9159,,1,,11,1219,
2023-09-15T13:01:08.495000+00:00,9159,,1,,55,1219,
2023-09-15T13:01:15.823000+00:00,9159,,1,,20,1219,
2023-09-15T13:01:17.683000+00:00,9159,,1,,10,1219,
2023-09-15T13:01:21.307000+00:00,9159,,1,,81,1219,
2023-09-15T13:01:21.448000+00:00,9159,,1,,16,1219,
2023-09-15T13:01:27.151000+00:00,9159,,1,,1,1219,
2023-09-15T13:09:06.987000+00:00,9159,,4,35.2,44,1219,35.2
2023-09-15T13:10:15.392000+00:00,9159,,6,32.3,2,1219,32.3
2023-09-15T13:10:28.517000+00:00,9159,,6,26.4,27,1219,26.4
2023-09-15T13:14:41.465000+00:00,9159,,7,24.6,16,1219,24.6
2023-09-15T13:23:18.284000+00:00,9159,,9,425.4,2,1219,425.4
2023-09-15T13:23:27.503000+00:00,9159,,8,444.2,55,1219,444.2
2023-09-15T13:23:51.299000+00:00,9159,,10,198.5,16,1219,198.5
2023-09-15T13:23:56.565000+00:00,9159,,8,541.7,14,1219,541.7
2023-09-15T13:23:58.737000+00:00,9159,,8,615.7,77,1219,615.7
2023-09-15T13:24:05.487000+00:00,9159,,6,778.9,4,1219,778.9
2023-09-15T13:24:10.424000+00:00,9159,,8,612.2,18,1219,612.2
2023-09-15T13:24:23.314000+00:00,9159,,9,467.6,40,1219,467.6
2023-09-15T13:24:39.017000+00:00,9159,,7,567.7,44,1219,567.7
2023-09-15T13:24:43.048000+00:00,9159,,10,321.6,22,1219,321.6
2023-09-15T13:25:05.173000+00:00,9159,,8,501.9,20,1219,501.9
2023-09-15T13:25:32.173000+00:00,9159,,10,342.3,10,1219,342.3
2023-09-15T13:26:44.218000+00:00,9159,,8,697.6,31,1219,697.6
2023-09-15T13:27:39.561000+00:00,9159,,9,641.4,63,1219,641.4
2023-09-15T13:27:42.873000+00:00,9159,,8,685.0,81,1219,685.0
2023-09-15T13:27:50.342000+00:00,9159,,8,662.1,1,1219,662.1
2023-09-15T13:28:28.185000+00:00,9159,,10,606.5,24,1219,606.5
2023-09-15T13:30:14.464000+00:00,9159,,11,25.7,55,1219,25.7
2023-09-15T13:30:22.761000+00:00,9159,,7,1069.8,27,1219,1069.8
2023-09-15T13:30:42.245000+00:00,9159,,13,26.9,16,1219,26.9
2023-09-15T13:31:08.260000+00:00,9159,,10,671.7,11,1219,671.7
2023-09-15T13:33:56.273000+00:00,9159,,14,36.4,22,1219,36.4
2023-09-15T13:34:55.272000+00:00,9159,,13,26.2,24,1219,26.2
2023-09-15T13:38:27.378000+00:00,9159,,13,34.4,11,1219,34.4
2023-09-15T13:40:50.797000+00:00,9159,,15,346.4,2,1219,346.4
2023-09-15T13:41:41.296000+00:00,9159,,14,286.0,55,1219,286.0
2023-09-15T13:42:55.029000+00:00,9159,,14,404.2,14,1219,404.2
2023-09-15T13:43:14.294000+00:00,9159,,15,372.9,40,1219,372.9
2023-09-15T13:43:17.560000+00:00,9159,,12,371.4,44,1219,371.4
2023-09-15T13:43:18.341000+00:00,9159,,16,30.5,2,1219,30.5
2023-09-15T13:43:35.435000+00:00,9159,,12,433.8,4,1219,433.8
2023-09-15T13:43:41.091000+00:00,9159,,16,395.8,16,1219,395.8
2023-09-15T13:44:13.450000+00:00,9159,,14,341.5,20,1219,341.5
2023-09-15T13:44:18.434000+00:00,9159,,14,483.8,77,1219,483.8
2023-09-15T13:44:42.980000+00:00,9159,,14,332.6,31,1219,332.6
2023-09-15T13:45:14.511000+00:00,9159,,17,325.4,22,1219,325.4
2023-09-15T13:45:27.948000+00:00,9159,,15,351.2,63,1219,351.2
2023-09-15T13:45:32.370000+00:00,9159,,15,38.0,14,1219,38.0
2023-09-15T13:45:46.011000+00:00,9159,,13,426.2,1,1219,426.2
2023-09-15T13:46:01.510000+00:00,9159,,14,359.8,81,1219,359.8
2023-09-15T13:46:17.182000+00:00,9159,,15,378.0,18,1219,378.0
2023-09-15T13:46:53.369000+00:00,9159,,15,41.6,77,1219,41.6
2023-09-15T13:47:09.915000+00:00,9159,,13,301.5,27,1219,301.5
2023-09-15T13:47:24.478000+00:00,9159,,16,401.8,24,1219,401.8
2023-09-15T13:48:19.805000+00:00,9159,,15,29.7,81,1219,29.7
2023-09-15T13:48:56.179000+00:00,9159,,16,649.8,10,1219,649.8
2023-09-15T13:49:50.053000+00:00,9159,,17,31.4,24,1219,31.4
2023-09-15T13:50:58.989000+00:00,9159,,16,393.3,11,1219,393.3
2023-09-15T13:55:46.922000+00:00,9159,,19,31.2,4,1219,31.2
